dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas,safra
102,Centro,2020,GO,MILHO,278,2218,7978,22.4,2603,Boa
103,Centro,2020,MS,MILHO,15,135,9000,22.4,2603,Boa
104,Centro,2020,MT,MILHO,41,346,8439,22.4,2603,Boa
107,Centro,2021,MS,MILHO,12,129,10750,23,2564,Boa
111,Centro,2017,DF,MILHO,29,223,7689,24.2,2322,Boa
112,Centro,2017,DF,MILHO,38,269,7078,24.2,2322,Boa
113,Centro,2017,MS,MILHO,28,262,9357,24.2,2322,Boa
151,Norte,2017,AC,MILHO,35,82,2342,24.3,1562,Boa
153,Norte,2017,AP,MILHO,2,2,1000,24.3,1562,Ruim
154,Norte,2017,PA,MILHO,177,556,3141,24.3,1562,Boa
155,Norte,2017,PA,MILHO,81,289,3567,24.3,1562,Boa
156,Norte,2017,RO,MILHO,40,107,2675,24.3,1562,Boa
157,Norte,2017,RO,MILHO,157,688,4382,24.3,1562,Boa
158,Norte,2017,RR,MILHO,8,46,5750,24.3,1562,Boa
159,Norte,2017,TO,MILHO,46,219,4760,24.3,1562,Boa
160,Norte,2017,TO,MILHO,155,684,4412,24.3,1562,Boa
161,Norte,2018,AC,MILHO,31,81,2612,24.6,1694,Boa
162,Norte,2018,AM,MILHO,10,26,2600,24.6,1694,Boa
163,Norte,2018,AP,MILHO,2,2,1000,24.6,1694,Ruim
165,Norte,2018,PA,MILHO,69,235,3405,24.6,1694,Boa
166,Norte,2018,RO,MILHO,29,72,2482,24.6,1694,Boa
167,Norte,2018,RO,MILHO,149,670,4496,24.6,1694,Boa
168,Norte,2018,RR,MILHO,10,47,4700,24.6,1694,Boa
169,Norte,2018,TO,MILHO,53,235,4433,24.6,1694,Boa
170,Norte,2018,TO,MILHO,158,533,3373,24.6,1694,Boa
171,Norte,2019,AC,MILHO,33,78,2363,26.8,1696,Boa
172,Norte,2019,AC,MILHO,2,4,2000,26.8,1696,Boa
173,Norte,2019,AM,MILHO,11,28,2545,26.8,1696,Boa
175,Norte,2019,PA,MILHO,152,445,2927,26.8,1696,Boa
176,Norte,2019,PA,MILHO,97,320,3298,26.8,1696,Boa
177,Norte,2019,RO,MILHO,11,28,2545,26.8,1696,Boa
179,Norte,2019,RR,MILHO,13,78,6000,26.8,1696,Boa
180,Norte,2019,TO,MILHO,38,201,5289,26.8,1696,Boa
181,Norte,2019,TO,MILHO,202,993,4915,26.8,1696,Boa
182,Norte,2020,AC,MILHO,30,76,2533,24.1,1607,Boa
183,Norte,2020,AC,MILHO,2,4,2000,24.1,1607,Boa
184,Norte,2020,AM,MILHO,11,28,2545,24.1,1607,Boa
186,Norte,2020,PA,MILHO,164,495,3018,24.1,1607,Boa
187,Norte,2020,PA,MILHO,101,339,3356,24.1,1607,Boa
190,Norte,2020,RR,MILHO,13,78,6000,24.1,1607,Boa
191,Norte,2020,TO,MILHO,42,256,6095,24.1,1607,Boa
193,Norte,2021,AC,MILHO,28,79,2821,24.5,1698,Boa
195,Norte,2021,AM,MILHO,9,23,2555,24.5,1698,Boa
196,Norte,2021,AP,MILHO,1,1,1000,24.5,1698,Ruim
198,Norte,2021,PA,MILHO,188,603,3207,24.5,1698,Boa
202,Norte,2021,TO,MILHO,41,191,4658,24.5,1698,Boa
203,Norte,2021,TO,MILHO,225,925,4111,24.5,1698,Boa
