dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas,safra
131,Norte,2019,AM,ARROZ,1,3,3000,26.8,1696,Boa
132,Norte,2019,AP,ARROZ,1,1,1000,26.8,1696,Ruim
133,Norte,2019,PA,ARROZ,37,95,2567,26.8,1696,Boa
134,Norte,2019,RO,ARROZ,42,138,3285,26.8,1696,Boa
136,Norte,2019,TO,ARROZ,120,624,5200,26.8,1696,Boa
137,Norte,2020,AC,ARROZ,5,6,1200,24.1,1607,Ruim
138,Norte,2020,AM,ARROZ,2,5,2500,24.1,1607,Boa
139,Norte,2020,AP,ARROZ,1,1,1000,24.1,1607,Ruim
142,Norte,2020,RR,ARROZ,10,71,7100,24.1,1607,Boa
143,Norte,2020,TO,ARROZ,123,660,5365,24.1,1607,Boa
145,Norte,2021,AM,ARROZ,6,16,2666,24.5,1698,Boa
146,Norte,2021,AP,ARROZ,1,1,1000,24.5,1698,Ruim
147,Norte,2021,PA,ARROZ,44,116,2636,24.5,1698,Boa
148,Norte,2021,RO,ARROZ,37,121,3270,24.5,1698,Boa
149,Norte,2021,RR,ARROZ,12,86,7166,24.5,1698,Boa
150,Norte,2021,TO,ARROZ,124,692,5580,24.5,1698,Boa
151,Norte,2017,AC,MILHO,35,82,2342,24.3,1562,Boa
153,Norte,2017,AP,MILHO,2,2,1000,24.3,1562,Ruim
154,Norte,2017,PA,MILHO,177,556,3141,24.3,1562,Boa
155,Norte,2017,PA,MILHO,81,289,3567,24.3,1562,Boa
156,Norte,2017,RO,MILHO,40,107,2675,24.3,1562,Boa
157,Norte,2017,RO,MILHO,157,688,4382,24.3,1562,Boa
158,Norte,2017,RR,MILHO,8,46,5750,24.3,1562,Boa
159,Norte,2017,TO,MILHO,46,219,4760,24.3,1562,Boa
160,Norte,2017,TO,MILHO,155,684,4412,24.3,1562,Boa
161,Norte,2018,AC,MILHO,31,81,2612,24.6,1694,Boa
162,Norte,2018,AM,MILHO,10,26,2600,24.6,1694,Boa
163,Norte,2018,AP,MILHO,2,2,1000,24.6,1694,Ruim
165,Norte,2018,PA,MILHO,69,235,3405,24.6,1694,Boa
166,Norte,2018,RO,MILHO,29,72,2482,24.6,1694,Boa
167,Norte,2018,RO,MILHO,149,670,4496,24.6,1694,Boa
168,Norte,2018,RR,MILHO,10,47,4700,24.6,1694,Boa
169,Norte,2018,TO,MILHO,53,235,4433,24.6,1694,Boa
170,Norte,2018,TO,MILHO,158,533,3373,24.6,1694,Boa
171,Norte,2019,AC,MILHO,33,78,2363,26.8,1696,Boa
172,Norte,2019,AC,MILHO,2,4,2000,26.8,1696,Boa
173,Norte,2019,AM,MILHO,11,28,2545,26.8,1696,Boa
175,Norte,2019,PA,MILHO,152,445,2927,26.8,1696,Boa
176,Norte,2019,PA,MILHO,97,320,3298,26.8,1696,Boa
177,Norte,2019,RO,MILHO,11,28,2545,26.8,1696,Boa
179,Norte,2019,RR,MILHO,13,78,6000,26.8,1696,Boa
180,Norte,2019,TO,MILHO,38,201,5289,26.8,1696,Boa
181,Norte,2019,TO,MILHO,202,993,4915,26.8,1696,Boa
182,Norte,2020,AC,MILHO,30,76,2533,24.1,1607,Boa
183,Norte,2020,AC,MILHO,2,4,2000,24.1,1607,Boa
184,Norte,2020,AM,MILHO,11,28,2545,24.1,1607,Boa
186,Norte,2020,PA,MILHO,164,495,3018,24.1,1607,Boa
187,Norte,2020,PA,MILHO,101,339,3356,24.1,1607,Boa
190,Norte,2020,RR,MILHO,13,78,6000,24.1,1607,Boa
191,Norte,2020,TO,MILHO,42,256,6095,24.1,1607,Boa
193,Norte,2021,AC,MILHO,28,79,2821,24.5,1698,Boa
195,Norte,2021,AM,MILHO,9,23,2555,24.5,1698,Boa
196,Norte,2021,AP,MILHO,1,1,1000,24.5,1698,Ruim
198,Norte,2021,PA,MILHO,188,603,3207,24.5,1698,Boa
202,Norte,2021,TO,MILHO,41,191,4658,24.5,1698,Boa
203,Norte,2021,TO,MILHO,225,925,4111,24.5,1698,Boa
204,Norte,2017,AP,SOJA,19,54,2842,24.3,1562,Boa
205,Norte,2017,PA,SOJA,500,1635,3270,24.3,1562,Boa
206,Norte,2017,RO,SOJA,296,930,3141,24.3,1562,Boa
207,Norte,2017,RR,SOJA,30,90,3000,24.3,1562,Boa
208,Norte,2017,TO,SOJA,964,2826,2931,24.3,1562,Boa
209,Norte,2018,AC,SOJA,1,1,1000,24.6,1694,Ruim
211,Norte,2018,AP,SOJA,20,58,2900,24.6,1694,Boa
212,Norte,2018,PA,SOJA,550,1531,2783,24.6,1694,Boa
213,Norte,2018,RO,SOJA,334,1095,3278,24.6,1694,Boa
214,Norte,2018,RR,SOJA,38,118,3105,24.6,1694,Boa
215,Norte,2018,TO,SOJA,988,3098,3135,24.6,1694,Boa
216,Norte,2019,AC,SOJA,2,4,2000,26.8,1696,Boa
217,Norte,2019,AM,SOJA,2,5,2500,26.8,1696,Boa
218,Norte,2019,AP,SOJA,21,58,2761,26.8,1696,Boa
219,Norte,2019,PA,SOJA,561,1709,3046,26.8,1696,Boa
220,Norte,2019,RO,SOJA,334,1109,3320,26.8,1696,Boa
221,Norte,2019,RR,SOJA,40,108,2700,26.8,1696,Boa
223,Norte,2020,AC,SOJA,4,12,3000,24.1,1607,Boa
224,Norte,2020,AM,SOJA,2,5,2500,24.1,1607,Boa
225,Norte,2020,AP,SOJA,21,59,2809,24.1,1607,Boa
226,Norte,2020,PA,SOJA,607,1859,3062,24.1,1607,Boa
227,Norte,2020,RO,SOJA,348,1234,3545,24.1,1607,Boa
228,Norte,2020,RR,SOJA,50,152,3040,24.1,1607,Boa
229,Norte,2020,TO,SOJA,1078,3581,3321,24.1,1607,Boa
230,Norte,2021,AC,SOJA,6,23,3833,24.5,1698,Boa
231,Norte,2021,AM,SOJA,4,13,3250,24.5,1698,Boa
232,Norte,2021,AP,SOJA,5,13,2600,24.5,1698,Boa
233,Norte,2021,PA,SOJA,732,2231,3047,24.5,1698,Boa
234,Norte,2021,RO,SOJA,396,1375,3472,24.5,1698,Boa
235,Norte,2021,RR,SOJA,70,196,2800,24.5,1698,Boa
236,Norte,2021,TO,SOJA,1119,3526,3151,24.5,1698,Boa
